id,name,description,groupIconUrl,individualIconUrl,photoUrl,Gun,AGM,AAM,ASM,Speed,Auto,Ceiling,Weight
1,Su-24; Fencer,"This aircraft was the first developed specifically for the ground-attack role, but has been adapted for others. Its variable swept wing can be set at 16, 45, or 69 degrees. Some aircraft are capable of aerial refueling. All can carry up to three external fuel tanks for extended range. There is no internal weapons bay. Not all munitions may be employed at one time. Mission dictates weapons configuration. External stores are mounted on underwing hardpoints. Each wing has four points. The center fuselage attachment point gives nine total stations. ",group/encas,individual/encas,photo/su24,23mm Cannon,Kh-29; Kedge,R-73M1; Archer,Kh-31; Krypton,2320,950,17500,2320
2,Su-25; Frogfoot,"The aircraft can carry a self-contained maintenance kit in 4 under-wing pods. The laser target designator can guide a variety of bombs, missiles, and rockets, including s-24 sal-h rockets, s-25l rockets to 7 km, and s-25ld rockets to 10 kmmig-25p/pd foxbat-e: interceptor with improved radar that has limited look-down/shootdown capability, ir sensor under the nose, and upgraded engine. The engines can operate on any type of fuel to be found in the forward-operating areas, including diesel and gasoline. Thus it can operate from unprepared airfields. ",group/encas,individual/encas,photo/su25,30mm Twin Cannon,AT-16 HEAT,Igla-Super,Kh-25ML,950,556,10000,880
3,Su-27; Flanker-B,"The su-27 is primarily an all-weather interceptor/fighter aircraft used for air defense. Later versions are capable of also performing ground attack missions. It is highly maneuverable because of a fly-by-wire control system, which automatically restricts aircraft angles of attack and maximum g-loads during flight. External fuel tanks can be carried on some variants, and some are fitted for aerial refueling, but these are generally naval versions rather than air defense or strike versions. Available munitions are shown above; not all may be employed at one time. Mission dictates weapons configuration. External stores are mounted on underwing and underbody hardpoints. Each wing has two points and an additional rail on the wingtip. Two points are under the intakes along the fuselage, and two are centrally located underneath the fuselage near the centerline and between the intakes for a total of ten stations. ",group/encas,individual/encas,photo/su27,30mm Cannon,Kh-29; Kedge,R-27; Adder,Kh-31; Krypton,2800,1500,18000,2500
4,Su-30; Flanker-F,A small number of the air superiority fighters have been produced. The greater export market is for multi-role versions.,group/encas,individual/encas,photo/su30,30mm Cannon,Kh-29; Kedge,R-27; Adder,Kh-31; Krypton,2125,3000,17500,2125
5,A-10; Thunderbolt II,"The Fairchild Republic A-10 Thunderbolt II is a single-seat, twin turbofan engine, straight wing jet aircraft developed by Fairchild-Republic for the United States Air Force (USAF). Commonly referred to by the nicknames ""Warthog"" or ""Hog"", its official name comes from the Republic P-47 Thunderbolt, a World War II fighter-bomber effective at attacking ground targets. The A-10 was designed for close air support (CAS) of friendly ground troops, attacking armored vehicles and tanks, and providing quick-action support against enemy ground forces. It entered service in 1976 and is the only production-built aircraft that has served in the USAF that was designed solely for CAS. Its secondary mission is to provide forward air controller - airborne (FAC-A) support, by directing other aircraft in attacks on ground targets. Aircraft used primarily in this role are designated OA-10.",group/frcas,individual/frcas,photo/a10,30mm Cannon,AGM-65B Maverick,AIM-9L Sidewinder,null,706,460,13700,706
6,AH. Mk-9; Lynx,"This aircraft was designed to be both a transport and an attack aircraft. Missions include: direct air support, anti-helicopter, reconnaissance, escort, security, transport, and training. Each fuselage side has one pylon allowing for a single gun pod or missile rack. Lynx is capable of single-engine flight in the event of loss of power by one engine (depending on aircraft mission weight) with its engine load sharing system. If an engine fails, the other's output increases. ",group/frcca,individual/frcca,photo/lynx,Dual 20mm Cannon,AGM-114 Hellfire HEAT,AIM-9L Sidewinder,null,289,630,5200,289
7,AH-1F; Cobra,"The missile targeting system uses a telescopic sight unit (traverse 110 degree , elevation - 60 degree / +30 degree ) with two magnifications/fields of view, a laser augmented tracking capability, tv, and video. Additional missions include: direct air support, escort, target designation, security, reconnaissance, air to air combat, and anti-ship. This aircraft costs approximately $10.7 million, inexpensive compared to other modern attack helicopters; but its performance is similar. Thus many nations consider this aircraft as a good candidate for fielding in attack helicopter squadrons. ",group/frcca,individual/frcca,photo/ah1f,20mm Gatling Gun,TOW 2 HEAT,null,null,350,610,3720,315
8,AH-1W; Supercobra,"The missile targeting system uses a telescopic sight unit (traverse 110 degree , elevation - 60 degree / +30 degree ) with two magnifications/fields of view, a laser augmented tracking capability, tv, and video. Additional missions include: direct air support, escort, target designation, security, reconnaissance, air to air combat, and anti-ship. This aircraft costs approximately $10.7 million, inexpensive compared to other modern attack helicopters; but its performance is similar. Thus many nations consider this aircraft as a good candidate for fielding in attack helicopter squadrons. ",group/frcca,individual/frcca,photo/ah1w,20mm Gatling Gun,AGM-114 Hellfire HEAT,AIM-9L Sidewinder,null,350,590,5703,350
9,AH-64D; Longbow,"The Boeing AH-64 Apache is an American four-blade, twin-turboshaft attack helicopter with a tailwheel-type landing gear arrangement and a tandem cockpit for a two-man crew. It features a nose-mounted sensor suite for target acquisition and night vision systems. It is armed with a 30 mm (1.18 in) M230 chain gun carried between the main landing gear, under the aircraft's forward fuselage, and four hardpoints mounted on stub-wing pylons for carrying armament and stores, typically a mixture of AGM-114 Hellfire missiles and Hydra 70 rocket pods. The AH-64 has a large amount of systems redundancy to improve combat survivability.",group/frcca,individual/frcca,photo/ah64d,30mm Chain Gun,AGM-114 Hellfire HEAT, AIM-92 Stinger,AS-12; Sea Skua,293,476,6400,293
10,F/A-18; Hornet,"The McDonnell Douglas F/A-18 Hornet is a twin-engine supersonic, all-weather carrier-capable multirole combat jet, designed as both a fighter and attack aircraft (hence the F/A designation). Designed by McDonnell Douglas (now Boeing) and Northrop, the F/A-18 was derived from the latter's YF-17 in the 1970s for use by the United States Navy and Marine Corps. The Hornet is also used by the air forces of several other nations and, since 1986, by the U.S. Navy's Flight Demonstration Squadron, the Blue Angels.",group/frcas,individual/frcas,photo/fa18,20mm Cannon,AGM-65B Maverick,AIM-120 AMRAAM,AGM 84 Harpon,1915,740,15240,1915
